issue_id,short_title,status_label,severity,release_blocker,affected_persona,environment,first_observed_period,expected_behaviour,actual_behaviour,reproduction_steps,reproduction_rate,evidence,root_cause,affected_surfaces,impact,smallest_complete_fix,dependencies_migrations_config,effort_estimate,tests_to_prove_fix,rollback_containment,owner_discipline
DIA-001,Production runs unmerged PR branch; 20 Jul promote reverted live fixes,VERIFIED,P1,yes,Founder/teacher/admin,Vercel production (drawintheair.com),2026-07-20 (promote); found 2026-08-15,Production deploys from a governed branch (master per CLAUDE.md); merged fixes stay deployed,"Production = 6a81fdf, head of open PR #14 (feat/ssg-prerender), branched from 579b8e6 (10 Jul). The 20 Jul promote removed PR #11 classroom rejoin/nav UX and PR #12/13 insights that were live 16-20 Jul (99b7e91 was production 16 Jul). Prod DB migrations for that work remain applied, ahead of the client.",Vercel: get_deployment dpl_9GNY6QoBhvLEg7n375RgEgKJCwHi -> meta.githubCommitSha. git merge-base --is-ancestor 99b7e91 6a81fdf -> false.,Deterministic (state inspection),Vercel deployment meta 2026-08-15; git graph: merge-base 579b8e6; prod..master divergence 23/1 commits,RC-1: manual promote from build branches; no branch protection/required checks; master abandoned since 26 Jun,Vercel project drawintheair; GitHub branches master/main/feat/ssg-prerender/fix/commercial-day1-leaks; teacher console UX; admin insights,Merged work silently lost from production; any future promote risks repeating it; teacher UX gaps live (see DIA-026); admin Growth tab absent,"Merge PR #14 then PR #10 into master (deliberate order, resolve once), set Vercel production branch = master, enable branch protection with required CI checks, redeploy",GitHub branch protection config; Vercel git settings; no DB migration,M (0.5-1 day incl. re-verification),Post-deploy smoke; verify Growth tab + teacher nav present; git: prod SHA ancestor of master,Vercel instant rollback to dpl_9GNY... (listed rollback candidate),Release engineering
DIA-002,"Branch/docs drift: master stale, main dead, CLAUDE.md wrong",VERIFIED,P2,no,Founder/any contributor or agent,GitHub repo,Since 26 Jun 2026,Default branch reflects production; docs describe the real release path,"master=1b5abae (26 Jun), main=b51355b (14 Mar), production on PR branch; CLAUDE.md says 'Production deploys from master'",git ls-remote --heads origin; read CLAUDE.md,Deterministic,ls-remote 2026-08-15; CLAUDE.md non-negotiables section,RC-1,"Repo governance, agent behaviour (agents trust CLAUDE.md)",Every future agent/human starts from wrong assumptions; audit prompts had to prove production identity from scratch,"After DIA-001 merge: delete/archive main, update CLAUDE.md deploy contract, document promote procedure",Depends on DIA-001,S,Docs review; fresh-clone dry run of documented procedure,n/a (docs),Release engineering
DIA-003,CI does not gate production; documented local gate cannot pass,VERIFIED (protection state ACCESS BLOCKED),P2,no,Founder,GitHub Actions + local scripts,Ongoing,Required checks block bad deploys; check-task.sh runs the full gate,"typecheck.yml triggers only on 'main' (never fires); ci.yml required-status enforcement unprovable (protection API 403); check-task.sh dies at lint step because lint has 11 pre-existing errors, so tests/build/guards after it never run via the script",cat .github/workflows/*.yml; run ./scripts/check-task.sh at 6a81fdf,Deterministic,findings/build.md (workflow triggers; check-task.sh die-on-lint),RC-1 + lint debt (DIA-033),".github/workflows, scripts/check-task.sh, publish-task.sh",No automated defence against a bad promote; contributors learn to bypass the gate,"Fix the 11 lint errors (or set a ratcheted baseline), point workflows at master, mark ci.yml jobs required in branch protection",Branch protection admin access,S-M,Push a failing commit to a PR -> merge blocked; check-task.sh passes clean on master,n/a,Release engineering
DIA-004,Migration drift between repo and production DB,VERIFIED,P2,no,Founder/DB,Supabase fmrsfjxwswzhvicylaph + repo supabase/migrations,Accumulated; confirmed 2026-08-15,Repo migrations reproduce production schema; every applied migration has a repo file,16 prod migrations have no repo file (incl. classroom_reclaim_roster_link + dashboard_growth from 16 Jul); 17 repo files (0011-0024) not in prod migration history (objects exist - applied untracked); duplicate version numbers 0022/0023/0024,mcp list_migrations vs ls supabase/migrations,Deterministic,findings/database.md migrations section,RC-1: SQL applied by hand in incidents without landing files,supabase/migrations; prod schema_migrations,Cannot rebuild staging/branch DB faithfully; conflicting future migrations likely; blocks safe schema work for term,"Export the 16 untracked migrations into the repo, renumber duplicates, adopt repo-first migration policy; document the 17 untracked-in-prod files as applied",None (repo-only change),M,supabase db diff prod vs repo-built branch = empty,n/a,Database engineering
DIA-005,Vercel installs with npm install (not ci); Node version matrix; silent empty-env builds,VERIFIED,P3,no,Founder,Vercel build,Ongoing,"Reproducible installs (npm ci), pinned Node, build fails on missing critical env",vercel.json installCommand 'npm install'; .nvmrc=20 vs Vercel Node 24.x vs CI 20; src/lib/supabase.ts falls back to '' so a build with missing VITE_SUPABASE_* ships green,cat vercel.json; src/lib/supabase.ts:13-14; Vercel project nodeVersion,Deterministic,findings/build.md,RC-1,"vercel.json, build scripts, supabase client init",Lockfile drift possible per deploy; env misconfig ships silently and only fails at runtime,installCommand npm ci; align Node 20/22 everywhere; throw at build if required VITE_ vars absent (check:env-safety already exists - make it fatal in prebuild),Vercel project settings,S,Deliberate missing-env build fails; deploy diff clean,Revert vercel.json,Release engineering
DIA-006,33 ungated dashboard_* SECURITY DEFINER RPCs; 7 anon-executable,VERIFIED,P1,yes,All account holders; anonymous internet,Supabase production,Flagged 16 Jul; still open 15 Aug,Admin analytics RPCs enforce is_platform_admin() in-body (as dashboard_growth does) and are not anon-executable,"33 dashboard_* SECURITY DEFINER functions have no in-body auth check and are EXECUTE-granted to authenticated; 7 (engagement_deep, executive_summary, ingest_latency, mastery_summary, public_proof, transparency_report/signals) are anon-executable","SELECT proname, proacl FROM pg_proc WHERE proname LIKE 'dashboard%'; pg_get_functiondef for each - no admin gate",Deterministic,findings/database.md claim-c section (function list + ACLs),RC-3: RPCs added before the admin-gating pattern existed; only the newest (dashboard_growth) gated,public.dashboard_* functions; admin insights UI,"Any authenticated user (any parent/teacher) and, for 7 functions, anyone with the public anon key can pull platform-wide analytics incl. masked emails and learner aggregates - cross-account data exposure on a children's product",One migration: add the dashboard_growth-style guard to all 33 and REVOKE anon EXECUTE (review dashboard_latest_sessions / dashboard_progression_top_learners content first),Migration; verify admin UI still works for Justin (is_admin=true),S (mechanical) + S review,anon + non-admin authenticated calls return 42501/forbidden for every dashboard_* fn; admin still 200,Function-level rollback migration (restore old defs),Database security
DIA-007,Anon-readable live session codes + child first-name rosters; stale sessions never end,VERIFIED,P1,yes,Children in classrooms; schools,Supabase production,By design since class mode; stale sessions accumulating; confirmed 15 Aug,Anon access limited to what the join flow needs (code -> single-session lookup); sessions end automatically; rosters not enumerable,RLS SELECT legs with status <> 'ended' expose live sessions and session_students (child first names) to the anon role; 4 sessions >14 days old still 'live'; class_end_stale_sessions() exists but is not scheduled in cron,Inspect pg_policies on sessions/session_students; SELECT count(*) FROM sessions WHERE status<>'ended' AND created_at < now()-interval '14 days',Deterministic,findings/database.md RLS map + stale-session counts,RC-3: join flow implemented as broad anon table SELECT instead of scoped RPC; no session lifecycle job,"sessions, session_students RLS; cron; join flow (session_lookup_by_code RPC exists)",Anyone with the public anon key can enumerate live classes and read child first names; exposure window unbounded because sessions never end,Schedule class_end_stale_sessions() nightly + end the 4 stale sessions now; then migration to replace anon table SELECT with the code-scoped RPC path (client already uses session_lookup_by_code),pg_cron entry; RLS migration; regression-test realtime delivery for joined students (anon subscribers) after narrowing,M (policy change needs careful realtime testing),anon SELECT on sessions/session_students denied; join + realtime still work in live two-context test,Keep old policies in a rollback migration,Database security
DIA-008,retention-purge cron failed every night for >=30 nights,VERIFIED,P1,yes,Children/schools (data subjects); founder (compliance),Supabase production pg_cron,Every run in the 30-day window (cron.job_run_details),Nightly purge deletes/anonymises expired child-linked data per stated retention policy,"Job fails nightly: 'null value in column code of relation sessions violates not-null constraint' (purge does SET code = NULL); the whole purge transaction rolls back, so NO retention deletions have executed for at least a month; failure is silent","SELECT status,count(*) FROM cron.job_run_details WHERE jobname='retention-purge' AND start_time>now()-interval '30 days' GROUP BY 1",30/30 nights,findings/database.md + findings/data-billing.md cron sections,RC-2: schema evolved (sessions.code NOT NULL) after purge SQL written; fire-and-forget cron with no alerting,cron job retention-purge; sessions/session_students/analytics retention; privacy-policy claims,Retention commitments not executing on a children's product (UK GDPR / Children's Code exposure); data accumulates unboundedly,"Fix the purge SQL to respect the NOT NULL constraint (archive-then-delete or make code nullable by design decision), run once manually with row-count evidence, add failure alerting to the daily digest",Migration (purge function); cron unchanged; digest edge function update for alerting,S-M,Manual run succeeds; next 3 nightly runs succeed; job_run_details shows success; alert fires on induced failure,Purge is idempotent; restore old function if needed,Database engineering + privacy
DIA-009,Child-tappable consent enables tracking; Clarity records child gameplay unmasked,VERIFIED (code); Clarity dashboard = UNVERIFIED,P1,yes,Children on /play and /join,Production client,Since consent banner shipped (1 Jul polish); confirmed at 6a81fdf,"Consent is an adult decision; child play area unobstructed; no session-replay of child gameplay, or fully masked",Cookie banner renders over /play and /join and is tappable by the child ('Accept' enables GA4/Clarity/Meta Pixel); Microsoft Clarity records gameplay DOM after consent with no masking configuration anywhere in code,Code: consent banner mount conditions + analytics gate; grep clarity config for mask settings (none),Deterministic (code path),findings/product-code.md privacy section (file:line refs),"Consent UX designed for marketing pages, reused on child routes; Clarity added without child-product review",Consent banner component; analytics init; Clarity project settings (external),A child can grant tracking consent (invalid under UK GDPR); child gameplay sessions recorded by a third party; contradicts privacy-by-design positioning; banner also obstructs play area (product principle 2),"Suppress banner + default all optional analytics OFF on /play,/join (child routes); move consent to adult surfaces; configure Clarity masking or remove Clarity from child routes; review + delete existing child-route recordings in Clarity dashboard",Clarity dashboard access (manual); no migration,S-M code + manual dashboard review,"On /play with fresh profile: no banner, no GA4/Clarity/Meta requests fire pre/post any child action; Clarity shows no child-route recordings",Feature-flag the suppression,Privacy engineering
DIA-010,Auth/DB hardening gaps (leaked-password protection off; mutable search_path; anon TRUNCATE/TRIGGER; anon EXECUTE on child-record admin fns),VERIFIED,P3,no,All accounts,Supabase production,Confirmed 15 Aug (advisors),Advisor-clean auth/DB posture,Leaked-password protection disabled; 3 SECURITY DEFINER fns with mutable search_path; broad anon TRUNCATE/TRIGGER table grants (not governed by RLS); anon EXECUTE on class_child_delete/anonymise/archive,get_advisors security; information_schema.role_table_grants; pg_proc ACLs,Deterministic,findings/database.md + advisors_security.json,RC-3 / defaults never hardened,Auth config; grants; 3 functions,Defence-in-depth gaps; anon EXECUTE on child-record mutation fns is one internal check away from a real vulnerability,Enable leaked-password protection; single migration: revoke anon TRUNCATE/TRIGGER + anon EXECUTE on the 3 class_child_* fns; SET search_path on the 3 flagged fns,Auth dashboard toggle + migration,S,Advisors re-run clean on these items; join flow unaffected,Reverse grants migration,Database security
